agent,architecture,model_key,site,n_runs,strict_field_f1_mean,strict_field_f1_std,record_f1_mean,record_f1_std,record_recall_mean,record_recall_std,record_completeness_mean,record_completeness_std,schema_adherence_mean,schema_adherence_std,task_success_mean,task_success_std,selector_pair_coverage_mean,selector_pair_coverage_std,quote_coverage_mean,quote_coverage_std,verified_provenance_precision_mean,verified_provenance_precision_std,verified_provenance_recall_mean,verified_provenance_recall_std,latency_seconds_mean,latency_seconds_std,input_tokens_mean,input_tokens_std,output_tokens_mean,output_tokens_std,tool_actions_mean,tool_actions_std,browser_actions_mean,browser_actions_std
A1__gemma,A1,gemma,site_01,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,310.98833333333334,9.45308295390099,173100.66666666666,664.5301598372592,24414,919.7189788190739,10,0.0,0,0.0
A1__gemma,A1,gemma,site_02,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,312.70633333333336,1.6734121827372024,172246.33333333334,42.14656965084268,24317.666666666668,0.5773502691896257,10,0.0,0,0.0
A1__gemma,A1,gemma,site_03,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,337.04133333333334,16.963679592981386,281720,28515.489334745773,20291.666666666668,3126.6298682980264,10,0.0,0,0.0
A1__gemma,A1,gemma,site_04,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,301.974,6.342718344684714,172221.66666666666,790.9698687897873,23240,311.7691453623979,10,0.0,0,0.0
A1__qwen,A1,qwen,site_01,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,402.159,1.3091936449585933,169409,0.0,27596,0.0,10,0.0,0,0.0
A1__qwen,A1,qwen,site_02,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,1.0,0.0,0.4722222222222222,0.0481125224324688,0.0,0.0,0.0,0.0,291.00333333333333,33.60746994841078,169779,32.90896534380867,19017.333333333332,2555.3522914332834,10,0.0,0,0.0
A1__qwen,A1,qwen,site_03,3,0.23255813953488366,0.08056050267762219,0.2777777777777778,0.09622504486493764,0.16666666666666669,0.05773502691896258,0.0,0.0,1,0.0,0,0.0,1.0,0.0,0.8333333333333334,0.07216878364870322,0.5,0.21650635094610965,0.11428571428571428,0.04948716593053935,409.6426666666667,1.7967196034254618,190064.33333333334,1979.1567227820371,25962.333333333332,54.84827557301445,10,0.0,0,0.0
A1__qwen,A1,qwen,site_04,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,1.0,0.0,0.16666666666666666,0.28867513459481287,0.0,0.0,0.0,0.0,225.38,81.62011416311547,168716.66666666666,142.60551648983756,13295.666666666666,6343.924757855608,10,0.0,0,0.0
A1__kimi,A1,kimi,site_01,3,0.9957805907172995,0.007308231255564922,1.0,0.0,1.0,0.0,0.9666666666666667,0.05773502691896256,1,0.0,1,0.0,1.0,0.0,1.0,0.0,0.9916666666666667,0.014433756729740658,1.0,0.0,388.19533333333334,15.525592302174262,552445.3333333334,49108.26033706889,11187.333333333334,798.0985736945865,10,0.0,0,0.0
A1__kimi,A1,kimi,site_02,3,0.9873417721518987,0.0,1.0,0.0,1.0,0.0,0.9,0.0,1,0.0,1,0.0,1.0,0.0,1.0,0.0,0.975,0.0,1.0,0.0,436.77233333333334,22.18564081412418,652634.6666666666,68981.4688908067,13421.666666666666,1408.5795445530698,10,0.0,0,0.0
